Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,25.53,25.53,23.82,23.96,23.96,3261800
16/01/2024,23.77,23.87,23.02,23.72,23.72,2224500
17/01/2024,23.52,23.58,23.08,23.40,23.40,1956000
18/01/2024,23.40,23.40,22.23,22.34,22.34,2856900
19/01/2024,22.53,23.05,22.01,22.73,22.73,4603700
22/01/2024,22.27,22.33,21.52,21.97,21.97,2280000
23/01/2024,21.25,21.64,21.05,21.39,21.39,2329200
24/01/2024,21.85,21.95,21.57,21.60,21.60,1671000
25/01/2024,21.86,21.89,21.57,21.73,21.73,1260100
26/01/2024,22.47,23.04,22.42,22.91,22.91,2831900
29/01/2024,22.90,23.65,22.79,23.57,23.57,2239700
30/01/2024,23.73,23.87,23.59,23.78,23.78,1684500
31/01/2024,23.32,23.87,23.17,23.22,23.22,1264400
01/02/2024,23.03,23.60,23.03,23.45,23.45,1315200
02/02/2024,23.30,23.71,23.28,23.41,23.41,1729800
05/02/2024,23.62,23.68,23.06,23.12,23.12,1001200
06/02/2024,23.37,23.67,23.37,23.52,23.52,880900
07/02/2024,23.53,24.16,23.40,24.10,24.10,1912700
08/02/2024,24.61,24.89,24.49,24.85,24.85,1988300
09/02/2024,25.66,26.30,25.54,25.95,25.95,2059000
12/02/2024,26.27,27.51,26.27,27.40,27.40,3209900
13/02/2024,26.73,27.03,26.40,26.99,26.99,3684900
14/02/2024,28.23,28.46,27.99,28.26,28.26,3330800
15/02/2024,28.66,28.87,28.17,28.23,28.23,4990700
16/02/2024,28.58,28.64,28.18,28.34,28.34,1712900
20/02/2024,28.56,28.59,27.69,28.37,28.37,6324300
21/02/2024,27.78,28.06,27.65,27.82,27.82,1196200
22/02/2024,27.89,28.43,27.84,28.42,28.42,1096300
23/02/2024,27.96,28.00,27.63,27.90,27.90,1534700
26/02/2024,28.05,30.01,28.05,29.77,29.77,2829800
27/02/2024,31.07,31.47,30.73,31.15,31.15,2914500
28/02/2024,32.83,35.11,32.25,32.97,32.97,7881400
29/02/2024,34.59,34.77,32.97,33.83,33.83,4537600
01/03/2024,34.10,34.58,33.41,34.43,34.43,3234400
04/03/2024,35.73,37.15,35.72,36.95,36.95,5043500
05/03/2024,36.97,37.90,32.53,33.81,33.81,9046600
06/03/2024,36.51,36.91,35.67,36.60,36.60,3430000
07/03/2024,36.79,37.21,36.41,36.96,36.96,4037600
08/03/2024,37.20,38.43,36.10,37.85,37.85,8228500
11/03/2024,39.50,39.83,38.94,39.36,39.36,5633800
12/03/2024,39.46,39.95,37.50,38.99,38.99,5712200
13/03/2024,39.74,40.16,39.16,40.16,40.16,2932800
14/03/2024,39.60,39.68,37.33,37.83,37.83,4377600
15/03/2024,37.01,38.57,36.79,37.71,37.71,4130100
18/03/2024,37.08,37.41,36.30,36.50,36.50,2714500
19/03/2024,34.76,35.90,33.96,35.14,35.14,4167200
20/03/2024,34.57,36.04,33.87,35.94,35.94,3981800
21/03/2024,36.90,36.92,35.39,35.55,35.55,2585900
22/03/2024,35.02,35.11,34.17,34.84,34.84,2780100
25/03/2024,36.53,38.84,36.53,38.80,38.80,3225100
26/03/2024,38.66,38.74,37.80,37.91,37.91,2234800
27/03/2024,39.09,39.16,37.33,37.46,37.46,1917300
28/03/2024,38.80,39.15,38.47,38.71,38.71,3192800
01/04/2024,38.21,38.28,37.15,38.07,38.07,1897700
02/04/2024,35.36,36.17,35.20,35.97,35.97,1991000
03/04/2024,35.86,36.52,35.75,35.92,35.92,2289300
04/04/2024,36.70,37.87,36.64,37.38,37.38,2678000
05/04/2024,36.49,37.41,36.49,36.73,36.73,2754800
08/04/2024,39.35,39.40,38.86,39.18,39.18,2465700
09/04/2024,38.51,38.71,37.21,37.64,37.64,2097700
10/04/2024,36.88,38.25,36.80,38.25,38.25,1853800
11/04/2024,38.60,38.67,37.93,38.43,38.43,1959600
12/04/2024,38.29,38.33,35.55,36.47,36.47,3372100
15/04/2024,36.15,36.29,33.99,34.51,34.51,2166900
16/04/2024,34.49,34.56,33.65,34.22,34.22,2349500
17/04/2024,34.03,34.36,32.52,33.26,33.26,2656600
18/04/2024,34.09,35.01,33.76,34.68,34.68,2050600
19/04/2024,35.31,35.53,34.65,35.11,35.11,2048500
22/04/2024,36.06,36.49,35.81,36.33,36.33,1568500
23/04/2024,36.08,36.64,36.05,36.26,36.26,1675100
24/04/2024,36.03,36.17,34.73,34.86,34.86,2906200
25/04/2024,34.41,35.39,34.26,35.29,35.29,2188800
26/04/2024,34.79,35.32,34.51,34.75,34.75,1198000
29/04/2024,34.08,34.45,33.67,34.34,34.34,1250900
30/04/2024,33.36,33.52,32.12,32.19,32.19,3482300
01/05/2024,31.44,32.36,30.82,31.02,31.02,3745300
02/05/2024,32.00,32.51,31.74,32.36,32.36,2708500
03/05/2024,33.44,33.97,33.39,33.89,33.89,1872400
06/05/2024,34.67,35.04,34.21,34.49,34.49,1583100
07/05/2024,34.67,35.09,34.25,34.36,34.36,1736000
08/05/2024,33.83,34.26,33.67,33.89,33.89,1177300
09/05/2024,33.48,34.20,33.18,34.04,34.04,1416600
10/05/2024,34.25,34.43,32.80,33.07,33.07,1892000
13/05/2024,34.26,34.62,34.13,34.44,34.44,1707900
14/05/2024,33.81,33.96,33.32,33.57,33.57,1070000
15/05/2024,35.10,36.26,34.88,36.06,36.06,4324100
16/05/2024,36.01,36.25,35.24,35.53,35.53,1307900
17/05/2024,36.21,36.83,35.91,36.62,36.62,1577100
20/05/2024,36.57,38.29,36.41,38.26,38.26,1503600
21/05/2024,38.70,38.90,37.72,37.75,37.75,1982500
22/05/2024,38.03,38.56,37.74,37.96,37.96,1178800
23/05/2024,37.83,37.83,36.37,36.63,36.63,1361700
